"Id","UPRN","Date","Easting","Northing","Lat","Long","cluster","demand"
"11","CRAVENCT_D1C",2016-05-17,384709,436375,53.823191,-2.232566,1,40
"13","WALTERST_D2",2016-03-17,384782,436158,53.821243,-2.231445,1,40
"14","WALTERST_D4",2016-03-17,384782,436158,53.821243,-2.231445,1,40
"18","HENRYGD_D5",2016-05-03,384806,436414,53.823545,-2.231092,1,40
"22","HENRYGD_D10",2016-05-12,384806,436414,53.823545,-2.231092,1,40
"26","HENRYGD_D15",2016-04-25,384806,436414,53.823545,-2.231092,1,40
"30","HENRYGD_D19",2016-04-07,384806,436414,53.823545,-2.231092,1,40
"42","RUSHEYLEACL_D14",2016-04-27,370503,410773,53.592446,-2.44618,1,40
"49","RUSHEYLEACL_D21",2016-04-10,370503,410773,53.592446,-2.44618,1,40
"69","RUSHEYLEACL_D102",2016-04-29,370573,410794,53.592639,-2.445123,1,40
"78","NEWLEACL_D9",2016-04-17,370438,410810,53.592775,-2.447167,1,40
"97","BOWENST_D10",2016-04-18,369827,410235,53.587572,-2.456353,1,40
"99","DOUGILLST_D19",2016-04-24,369802,410170,53.586986,-2.456725,1,40
"104","CRATHIECT_D03",2016-04-19,369749,410198,53.587235,-2.457529,1,40
"118","WEYMOUTHST_D17",2016-05-05,371086,410866,53.593315,-2.43737,1,40
"119","WEYMOUTHST_D19",2016-05-11,371086,410866,53.593315,-2.43737,1,40
"123","WEYMOUTHST_D27",2016-05-12,371086,410866,53.593315,-2.43737,1,40
"125","WEYMOUTHST_D31",2016-05-08,371086,410866,53.593315,-2.43737,1,40
"126","WEYMOUTHST_D33",2016-05-09,371086,410866,53.593315,-2.43737,1,40
"128","WEYMOUTHST_D37",2016-04-20,371086,410866,53.593315,-2.43737,1,40
"131","WEYMOUTHST_D43",2016-04-27,371086,410866,53.593315,-2.43737,1,40
"138","LEYBOURNEST_D7",2016-05-09,371103,410930,53.593891,-2.437119,1,40
"145","SAWST_D22",2016-05-13,371161,410959,53.594155,-2.436245,1,40
"166","CRUMPSALLST_D31",2016-04-28,371395,411028,53.594788,-2.432711,1,40
"168","CRUMPSALLST_D35",2016-05-06,371395,411028,53.594788,-2.432711,1,40
"180","ASTLEYST_D34",2016-05-02,371293,410910,53.593722,-2.434243,1,40
"182","ASTLEYST_D38",2016-05-02,371293,410910,53.593722,-2.434243,1,40
"184","DORKINGCL_D2",2016-04-18,371879,410910,53.593753,-2.425379,1,40
"193","HALBURYWK_D1",2016-05-02,371858,410986,53.594436,-2.425704,1,40
"196","HALBURYWK_D5",2016-04-28,371858,410986,53.594436,-2.425704,1,40
"199","HALBURYWK_D8",2016-05-06,371858,410986,53.594436,-2.425704,1,40
"208","PENDLEBURYST_D31",2016-04-05,371797,411050,53.595008,-2.426632,1,40
"210","PENDLEBURYST_D35",2016-04-13,371797,411050,53.595008,-2.426632,1,40
"212","PENDLEBURYST_D40",2016-04-14,371797,411050,53.595008,-2.426632,1,40
"219","PENDLEBURYST_D48",2016-04-17,371797,411050,53.595008,-2.426632,1,40
"228","CASTLEST_D13",2016-04-12,372403,409191,53.578329,-2.417301,1,40
"231","WESLEYMEWS_D1",2016-05-03,372525,409098,53.5775,-2.415448,1,40
"237","WESLEYMEWS_D7",2016-04-11,372525,409098,53.5775,-2.415448,1,40
"243","WESLEYMEWS_D13",2016-04-25,372525,409098,53.5775,-2.415448,1,40
"256","BRADFORDST_D61B1",2016-05-09,372405,408997,53.576585,-2.417253,1,40
"259","BRADFORDST_D34B",2016-05-02,372468,408987,53.576499,-2.4163,1,40
"262","BRADFORDST_D34E",2016-05-04,372468,408987,53.576499,-2.4163,1,40
"279","THEMELVILLE_D7",2016-05-04,372573,409073,53.577277,-2.41472,1,40
"283","THEMELVILLE_D11",2016-04-18,372573,409073,53.577277,-2.41472,1,40
"297","MONKSLN_D86",2016-04-12,373785,410587,53.590949,-2.396521,1,40
"307","GLAISTERLN_D45",2016-04-21,373790,410499,53.590158,-2.396438,1,40
"308","GLAISTERLN_D47",2016-04-28,373790,410499,53.590158,-2.396438,1,40
"322","GLAISTERLN_D70",2016-05-08,373790,410499,53.590158,-2.396438,1,40
"323","GLAISTERLN_D72",2016-05-09,373790,410499,53.590158,-2.396438,1,40
"324","GLAISTERLN_D74",2016-04-29,373790,410499,53.590158,-2.396438,1,40
"330","MONKSLN_D66",2016-04-06,373848,410636,53.591393,-2.395573,1,40
"332","MONKSLN_D70",2016-05-05,373848,410636,53.591393,-2.395573,1,40
"350","CECILIAST_D2",2016-05-02,372039,407675,53.564682,-2.422669,1,40
"352","CECILIAST_D12",2016-05-03,372039,407675,53.564682,-2.422669,1,40
"358","NEWPORTRD_D4",2016-05-08,372076,407639,53.564361,-2.422106,1,40
"359","NEWPORTRD_D6",2016-04-12,372076,407639,53.564361,-2.422106,1,40
"364","MELVILLEST_D34",2016-04-12,372139,407501,53.563124,-2.421142,1,40
"377","RUPERTST_D49",2016-04-29,371607,407340,53.561648,-2.429168,1,40
"390","SETTLEST_D10",2016-04-06,371645,407476,53.562872,-2.428606,1,40
"395","SETTLEST_D15",2016-05-10,371645,407476,53.562872,-2.428606,1,40
"401","SETTLEST_D21",2016-04-26,371645,407476,53.562872,-2.428606,1,40
"403","SETTLEST_D23",2016-04-06,371645,407476,53.562872,-2.428606,1,40
"405","SETTLEST_D25",2016-05-03,371645,407476,53.562872,-2.428606,1,40
"407","SETTLEST_D27",2016-05-09,371645,407476,53.562872,-2.428606,1,40
"411","SETTLEST_D31",2016-05-08,371645,407476,53.562872,-2.428606,1,40
"412","SETTLEST_D32",2016-05-03,371645,407476,53.562872,-2.428606,1,40
"421","DIVISIONST_D19",2016-05-12,371622,407528,53.563339,-2.428959,1,40
"454","PRESTONST_D22",2016-04-13,372587,407730,53.565206,-2.41439,1,40
"479","LYDIATECL_D19",2016-05-02,371673,406977,53.558388,-2.428138,1,40
"482","LYDIATECL_D25",2016-04-27,371673,406977,53.558388,-2.428138,1,40
"506","WOODBINERD_D18",2016-04-25,370141,407250,53.560757,-2.451318,1,40
"528","MILSOMAV_D6",2016-04-26,370166,407352,53.561676,-2.45095,1,40
"543","ROSAMUNDST_D38",2016-04-18,370376,407685,53.564681,-2.447807,1,40
"549","CHURCHAV_D28",2016-04-26,370398,407787,53.565599,-2.447485,1,40
"593","DAISYST_D44",2016-05-09,370178,407810,53.565793,-2.450812,1,40
"601","DAISYST_D72",2016-04-12,370178,407810,53.565793,-2.450812,1,40
"604","BRANDWOODST_D2",2016-05-02,370174,407787,53.565586,-2.450871,1,40
"637","DUCHESSWK_D6",2016-04-19,369896,407579,53.563701,-2.455053,1,40
"638","DUCHESSWK_D8",2016-05-10,369896,407579,53.563701,-2.455053,1,40
"640","DUCHESSWK_D12",2016-04-11,369896,407579,53.563701,-2.455053,1,40
"643","DUCHESSWK_D18",2016-04-10,369896,407579,53.563701,-2.455053,1,40
"658","CALEDONIAST_D21",2016-05-11,370226,407997,53.567477,-2.450105,1,40
"661","CALEDONIAST_D39",2016-04-12,370226,407997,53.567477,-2.450105,1,40
"689","KERSHAWST_D2",2016-05-09,370928,408339,53.570591,-2.439524,1,40
"690","KERSHAWST_D4",2016-05-11,370928,408339,53.570591,-2.439524,1,40
"691","KERSHAWST_D6",2016-05-12,370928,408339,53.570591,-2.439524,1,40
"692","KERSHAWST_D8",2016-05-09,370928,408339,53.570591,-2.439524,1,40
"694","SALISBURYST_D49",2016-05-08,370857,408722,53.57403,-2.440634,1,40
"698","CROSSORMRODST_D55",2016-05-03,370739,408732,53.574113,-2.442419,1,40
